id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
2785602317,https://www.vivareal.com.br/imovel/imovel-comercial-5-quartos-tatuape-zona-leste-sao-paulo-com-garagem-264m2-aluguel-RS8500-id-2785602317/,renting,264,5,3,2,8500,883,Imóvel comercial,Rua Coronel Mendonça,Chácara Santo Antônio (Zona Leste),São Paulo,0.0,0.0
2775134312,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-84m2-venda-RS1780000-id-2775134312/,renting,84,2,3,2,15500,1817,Apartamento,Rua Nova York,Brooklin Paulista,São Paulo,-23.572672,-46.911647
2781904908,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-zona-sul-sao-paulo-com-garagem-474m2-venda-RS9000000-id-2781904908/,renting,474,0,8,13,45000,16590,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
2791759827,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-carrao-sao-paulo-com-garagem-62m2-aluguel-RS2000-id-2791759827/,renting,62,2,2,2,2000,983,Apartamento,Rua Renato Rinaldi,Vila Carrão,São Paulo,0.0,0.0
2791738846,https://www.vivareal.com.br/imovel/ponto-comercial-campos-eliseos-sao-paulo-42m2-aluguel-RS1200-id-2791738846/,renting,42,0,1,0,1200,33,Ponto comercial/Loja/Box,Rua Conselheiro Nébias,Campos Elíseos,São Paulo,-23.570533,-46.663713
2792019455,https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-japao-sao-paulo-40m2-aluguel-RS1400-id-2792019455/,renting,40,2,1,0,1400,67,Casa,Avenida Conceição,Jardim Japão,São Paulo,0.0,0.0
2792488144,https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-sao-paulo-77m2-aluguel-RS3800-id-2792488144/,renting,77,2,1,0,3800,972,Apartamento,Rua Gaivota,Moema,São Paulo,-23.6061085,-46.670018
2791794417,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pinheiros-sao-paulo-com-garagem-60m2-aluguel-RS4300-id-2791794417/,renting,60,2,2,1,4300,1124,Apartamento,0,Pinheiros,São Paulo,-23.5635704,-46.6857037
2791810226,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tatuape-sao-paulo-com-garagem-39m2-aluguel-RS1800-id-2791810226/,renting,39,1,1,1,1800,658,Apartamento,Rua Filipe Camarão,Tatuapé,São Paulo,0.0,0.0
2791766072,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lauzane-paulista-sao-paulo-com-garagem-77m2-aluguel-RS2300-id-2791766072/,renting,77,2,2,1,2300,920,Apartamento,Rua Filipe da Silva,Lauzane Paulista,São Paulo,-23.482432,-46.6418893
2791714314,https://www.vivareal.com.br/imovel/predio-comercial-tatuape-sao-paulo-30m2-aluguel-RS1200-id-2791714314/,renting,30,0,1,0,1200,100,Prédio/Edificio inteiro,Rua Professor Pedreira de Freitas,Tatuapé,São Paulo,0.0,0.0
2791819013,https://www.vivareal.com.br/imovel/ponto-comercial-centro-sao-paulo-53m2-aluguel-RS3700-id-2791819013/,renting,53,0,0,0,3700,0,Ponto comercial/Loja/Box,Rua Venceslau Brás,Centro,São Paulo,0.0,0.0
2791685617,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aclimacao-sao-paulo-com-garagem-67m2-aluguel-RS3000-id-2791685617/,renting,67,3,2,2,3000,934,Apartamento,Rua Bueno de Andrade,Aclimação,São Paulo,-23.5652471,-46.6314261
2791869429,https://www.vivareal.com.br/imovel/casa-3-quartos-vila-talarico-sao-paulo-100m2-aluguel-RS3490-id-2791869429/,renting,100,3,2,0,3490,0,Casa,Rua Bernadelle,Vila Talarico,São Paulo,0.0,0.0
2791402136,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-87m2-aluguel-RS4700-id-2791402136/,renting,87,2,3,2,4700,2004,Apartamento,Rua Coronel Melo de Oliveira,Perdizes,São Paulo,-23.5325098,-46.6866949
2791867917,https://www.vivareal.com.br/imovel/casa-1-quartos-jardim-oriental-sao-paulo-com-garagem-70m2-aluguel-RS1900-id-2791867917/,renting,70,1,1,1,1900,142,Casa,Rua Barrânia,Jardim Oriental,São Paulo,0.0,0.0
2791462157,https://www.vivareal.com.br/imovel/casa-3-quartos-jardim-ernestina-sao-paulo-com-garagem-125m2-aluguel-RS3000-id-2791462157/,renting,125,3,4,2,3000,100,Casa,Rua José Pires Pimentel,Jardim Ernestina,São Paulo,0.0,0.0
2791940217,https://www.vivareal.com.br/imovel/apartamento-1-quartos-liberdade-sao-paulo-50m2-aluguel-RS1600-id-2791940217/,renting,50,1,1,0,1600,100,Apartamento,Rua Galvão Bueno,Liberdade,São Paulo,-23.5610933,-46.6348397
2791753119,https://www.vivareal.com.br/imovel/flat-1-quartos-saude-sao-paulo-com-garagem-40m2-aluguel-RS2650-id-2791753119/,renting,40,1,1,1,2650,850,Flat,Avenida Bosque da Saúde,Saúde,São Paulo,0.0,0.0
2773507820,https://www.vivareal.com.br/imovel/sala-comercial-indianopolis-sao-paulo-com-garagem-6287m2-venda-RS90000000-id-2773507820/,renting,6287,0,0,94,350000,0,Sala/Conjunto,Avenida Rouxinol,Indianópolis,São Paulo,-23.6072831,-46.665577
2491097535,https://www.vivareal.com.br/imovel/sala-comercial-8-quartos-vila-olimpia-sao-paulo-com-garagem-210m2-aluguel-RS19999-id-2491097535/,renting,210,8,4,8,19999,7649,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
2777587321,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2777587321/,renting,162,0,4,4,21060,4983,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
2791679060,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-mandaqui-sao-paulo-com-garagem-51m2-aluguel-RS2000-id-2791679060/,renting,51,1,1,1,2000,804,Apartamento,Rua Judith Zumkeller,Parque Mandaqui,São Paulo,-23.472542,-46.634495
2791819921,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-sao-paulo-com-garagem-54m2-aluguel-RS3000-id-2791819921/,renting,54,2,1,1,3000,1169,Apartamento,Rua Joaquim Guarani,Jardim das Acácias,São Paulo,0.0,0.0
2791710569,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-65m2-aluguel-RS3300-id-2791710569/,renting,65,2,1,1,3300,820,Apartamento,Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda,São Paulo,0.0,0.0
2630292277,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-sao-paulo-com-garagem-48m2-aluguel-RS3500-id-2630292277/,renting,48,1,2,1,3500,994,Apartamento,Rua Major Quedinho,Centro,São Paulo,0.0,0.0
2791553020,https://www.vivareal.com.br/imovel/apartamento-1-quartos-chacara-gaivotas-sao-paulo-22m2-aluguel-RS3500-id-2791553020/,renting,22,1,1,0,3500,475,Apartamento,Rua São Benedito,Chácara Gaivotas,São Paulo,0.0,0.0
2791835142,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791835142/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
0,0,renting,35,1,1,1,3258,742,Flat,Rua Espírito Santo,Aclimação,São Paulo,-23.5682316,-46.6304818
2791613225,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-42m2-aluguel-RS2827-id-2791613225/,renting,42,1,1,1,2827,1373,Apartamento,Rua Vieira de Morais,Campo Belo,São Paulo,-23.6184609,-46.6763968
2791839413,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839413/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2777563716,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2777563716/,renting,162,0,4,4,21060,4983,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
2791911313,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-sao-paulo-25m2-aluguel-RS3100-id-2791911313/,renting,25,1,1,0,3100,625,Apartamento,Rua Alves Guimarães,Pinheiros,São Paulo,-23.5521883,-46.6807515
0,0,renting,40,0,1,1,3200,1473,Sala/Conjunto,Rua Cubatão,Vila Mariana,São Paulo,-23.576832,-46.6432605
0,0,renting,112,4,4,3,4500,2443,Apartamento,Rua Engenheiro Jorge Oliva,Vila Mascote,São Paulo,0.0,0.0
2791834953,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791834953/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791426624,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-paulo-zona-norte-sao-paulo-29m2-aluguel-RS1350-id-2791426624/,renting,29,1,1,0,1350,350,Apartamento,Rua Conceição da Barra,Jardim São Paulo(Zona Norte),São Paulo,-23.491827,-46.622655
0,0,renting,34,1,1,1,4250,750,Flat,Avenida Santo Amaro,Brooklin Paulista,São Paulo,0.0,0.0
2791810047,https://www.vivareal.com.br/imovel/apartamento-1-quartos-parque-peruche-sao-paulo-26m2-aluguel-RS1100-id-2791810047/,renting,26,1,1,0,1100,93,Apartamento,Rua Doutor Ignácio Proença de Gouveia,Parque Peruche,São Paulo,-23.496475,-46.653151
2791685519,https://www.vivareal.com.br/imovel/apartamento-1-quartos-aclimacao-sao-paulo-com-garagem-45m2-aluguel-RS2400-id-2791685519/,renting,45,1,1,1,2400,805,Apartamento,Rua Loureiro da Cruz,Aclimação,São Paulo,-23.5713359,-46.6333916
2791839017,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839017/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2778219412,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-44m2-aluguel-RS3200-id-2778219412/,renting,44,1,1,1,3200,1300,Flat,Alameda Lorena,Jardim Paulista,São Paulo,-23.5636595,-46.6661508
2791839219,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839219/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
0,0,renting,97,2,3,2,10100,2824,Apartamento,Rua Manuel Guedes,Jardim Europa,São Paulo,-23.5806439,-46.6801464
2775795819,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-170m2-aluguel-RS22100-id-2775795819/,renting,170,0,4,4,22100,5610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
0,0,renting,44,1,1,1,2300,610,Apartamento,Rua Bela Cintra,Consolação,São Paulo,-23.5553601,-46.6606577
0,0,renting,42,1,1,1,3750,750,Flat,Avenida Aratãs,Indianópolis,São Paulo,-23.6093336,-46.6630224
2791839019,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839019/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791499252,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-leonor-sao-paulo-43m2-aluguel-RS1800-id-2791499252/,renting,43,2,1,0,1800,380,Apartamento,Rua Jurumirim,Vila Leonor,São Paulo,-23.499254,-46.596444
2789715531,https://www.vivareal.com.br/imovel/apartamento-2-quartos-perdizes-sao-paulo-com-garagem-74m2-aluguel-RS4500-id-2789715531/,renting,74,2,2,2,4500,2090,Apartamento,Rua Campevas,Perdizes,São Paulo,-23.5352249,-46.6744636
2777564840,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-183m2-aluguel-RS22875-id-2777564840/,renting,183,0,4,4,22875,4983,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
0,0,renting,87,3,3,2,2700,1534,Apartamento,Rua José Gonçalves,Vila Andrade,São Paulo,-23.6248557,-46.7392186
2790535919,https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-sao-paulo-com-garagem-40m2-aluguel-RS4500-id-2790535919/,renting,40,1,1,1,4500,1037,Apartamento,Avenida Açocê,Indianópolis,São Paulo,-23.6050776,-46.654494
0,0,renting,68,0,2,1,7000,2533,Sala/Conjunto,Avenida da Aclimação,Aclimação,São Paulo,-23.5702418,-46.6327638
2785954917,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-guilherme-sao-paulo-34m2-aluguel-RS1850-id-2785954917/,renting,34,1,1,0,1850,440,Apartamento,Rua Pedra Sabão,Vila Guilherme,São Paulo,-23.5095625,-46.601701
2775775269,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-191m2-aluguel-RS23875-id-2775775269/,renting,191,0,4,4,23875,5610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
2791845016,https://www.vivareal.com.br/imovel/sala-comercial-vila-marieta-sao-paulo-20m2-aluguel-RS1300-id-2791845016/,renting,20,0,1,0,1300,121,Sala/Conjunto,Avenida São Miguel,Vila Marieta,São Paulo,0.0,0.0
2531020512,https://www.vivareal.com.br/imovel/flat-2-quartos-jardim-paulista-sao-paulo-com-garagem-60m2-aluguel-RS5090-id-2531020512/,renting,60,2,1,2,5090,1410,Flat,Alameda Joaquim Eugênio de Lima,Jardim Paulista,São Paulo,-23.5661442,-46.6508323
2788461520,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-40m2-aluguel-RS3500-id-2788461520/,renting,40,0,1,1,3500,1807,Sala/Conjunto,Rua Helena,Vila Olímpia,São Paulo,-23.5931509,-46.6860701
2791678937,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-mariana-sao-paulo-com-garagem-60m2-aluguel-RS3700-id-2791678937/,renting,60,1,1,1,3700,920,Apartamento,Rua Doutor Neto de Araújo,Vila Mariana,São Paulo,-23.5872651,-46.6327947
2756608074,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-30m2-aluguel-RS3200-id-2756608074/,renting,30,1,1,0,3200,492,Apartamento,Rua Vieira de Morais,Campo Belo,São Paulo,-23.6184609,-46.6763968
2791838722,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838722/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791838623,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838623/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2791769992,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-sao-paulo-com-garagem-68m2-aluguel-RS2200-id-2791769992/,renting,68,2,1,1,2200,1200,Apartamento,Avenida Braz Leme,Santana,São Paulo,-23.5041931,-46.6270226
2778219667,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-44m2-aluguel-RS3200-id-2778219667/,renting,44,1,1,1,3200,1300,Flat,Alameda Lorena,Jardim Paulista,São Paulo,-23.5636595,-46.6661508
2668272132,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-sao-paulo-40m2-aluguel-RS1400-id-2668272132/,renting,40,1,1,0,1400,200,Apartamento,Rua 21 de Abril,Brás,São Paulo,-23.5425788,-46.6070898
2791839217,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839217/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2775796839,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2775796839/,renting,162,0,4,4,21060,5610,Sala/Conjunto,Rua Gomes de Carvalho,Vila Olímpia,São Paulo,-23.596004,-46.6871435
0,0,renting,58,1,2,1,3500,1375,Apartamento,Rua Vieira de Morais,Campo Belo,São Paulo,-23.6184609,-46.6763968
2790645831,https://www.vivareal.com.br/imovel/cobertura-3-quartos-indianopolis-sao-paulo-com-garagem-115m2-aluguel-RS7000-id-2790645831/,renting,115,3,1,2,7000,2224,Apartamento,Alameda dos Jurupis,Indianópolis,São Paulo,-23.601245,-46.6568843
2791812025,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-prudente-sao-paulo-com-garagem-91m2-venda-RS970000-id-2791812025/,renting,91,3,3,2,5000,1020,Apartamento,Rua Orfanato,Vila Prudente,São Paulo,0.0,0.0
2777574161,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-197m2-aluguel-RS24625-id-2777574161/,renting,197,0,5,4,24625,4983,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
2791552523,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-maria-baixa-sao-paulo-40m2-aluguel-RS1363-id-2791552523/,renting,40,1,1,0,1363,187,Apartamento,Rua Antônio Fonseca,Vila Maria Baixa,São Paulo,-23.593841,-46.740842
2791838719,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838719/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2790543429,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-olimpia-sao-paulo-com-garagem-110m2-aluguel-RS10000-id-2790543429/,renting,110,3,3,2,10000,2527,Apartamento,Rua Alvorada,Vila Olímpia,São Paulo,-23.5982587,-46.6829171
0,0,renting,150,0,3,3,13990,3725,Sala/Conjunto,Avenida Ibirapuera,Indianópolis,São Paulo,-23.6055343,-46.6641426
2778219851,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-23m2-aluguel-RS3420-id-2778219851/,renting,23,1,1,0,3420,780,Flat,Rua Pamplona,Jardim Paulista,São Paulo,-23.571715,-46.6615034
0,0,renting,45,1,1,1,3900,1100,Flat,Rua Leopoldo Couto Magalhães Júnior,Itaim Bibi,São Paulo,-23.5892049,-46.6839228
2790637614,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-38m2-aluguel-RS3000-id-2790637614/,renting,38,1,1,1,3000,1306,Apartamento,Rua João Álvares Soares,Campo Belo,São Paulo,-23.626491,-46.6760967
2776881619,https://www.vivareal.com.br/imovel/sala-comercial-vila-andrade-sao-paulo-com-garagem-38m2-aluguel-RS3400-id-2776881619/,renting,38,0,0,1,3400,918,Sala/Conjunto,Rua Jandiatuba,Vila Andrade,São Paulo,-23.6328156,-46.7352219
2791507025,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-ede-sao-paulo-60m2-aluguel-RS1780-id-2791507025/,renting,60,2,1,0,1780,160,Casa,Rua Ponte Nova,Vila Ede,São Paulo,-23.4973895,-46.5940928
2756020043,https://www.vivareal.com.br/imovel/sala-comercial-vila-sao-francisco-zona-sul-sao-paulo-com-garagem-56m2-aluguel-RS3800-id-2756020043/,renting,56,0,1,1,3800,1082,Sala/Conjunto,Rua Enxovia,Vila Sao Francisco (Zona Sul),São Paulo,-23.628476,-46.699861
2791330223,https://www.vivareal.com.br/imovel/apartamento-3-quartos-moinho-velho-sao-paulo-com-garagem-65m2-aluguel-RS2700-id-2791330223/,renting,65,3,2,1,2700,700,Apartamento,0,Moinho Velho,São Paulo,0.0,0.0
2775785921,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-182m2-aluguel-RS22750-id-2775785921/,renting,182,0,4,4,22750,5610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
0,0,renting,45,1,1,1,3666,1334,Flat,Rua Leopoldo Couto Magalhães Júnior,Itaim Bibi,São Paulo,-23.5892049,-46.6839228
2761170655,https://www.vivareal.com.br/imovel/imovel-comercial-indianopolis-sao-paulo-130m2-aluguel-RS6500-id-2761170655/,renting,130,0,2,0,6500,364,Imóvel comercial,Alameda Iraé,Indianópolis,São Paulo,-23.6047168,-46.6616965
